1,124
1,105
1,81
1,89
1,83
1,101
1,95
1,111
1,124
1,122
2,444
2,475
2,442
2,479
2,445
2,432
2,474
2,452
2,446
2,454
3,2603
3,2358
3,2291
3,2283
3,2435
3,2538
3,2289
3,2226
3,2501
3,2518
4,558
4,593
4,601
4,572
4,641
4,569
4,612
4,586
4,603
4,645
5,698
5,795
5,967
5,765
5,773
5,775
5,755
5,766
5,891
5,850
6,933
6,916
6,920
6,863
6,730
6,846
6,1126
6,1159
6,1065
6,957
7,493
7,507
7,489
7,509
7,496
7,477
7,529
7,519
7,492
7,472
8,1642
8,1624
8,1765
8,1898
8,1748
8,1762
8,2015
8,1931
8,1698
8,1663
9,1870
9,1745
9,1668
9,1578
9,1568
9,2008
9,1856
9,2045
9,1808
9,1961
10,1830
10,2018
10,1869
10,1869
10,2029
10,1519
10,1597
10,1552
10,1593
10,1904
11,4154
11,4119
11,4053
11,4471
11,4846
11,4259
11,4365
11,4499
11,4191
11,3571
12,1450
12,1554
12,1482
12,1510
12,1377
12,1267
12,1312
12,1344
12,1591
12,1623
13,849
13,821
13,872
13,893
13,847
13,1000
13,872
13,963
13,920
13,905
14,1937
14,1660
14,1602
14,1648
14,1819
14,1707
14,1677
14,1974
14,1929
14,1670
15,1670
15,1516
15,1603
15,1441
15,1367
15,1375
15,1356
15,1428
15,1336
15,1390
16,728
16,788
16,767
16,774
16,731
16,807
16,769
16,744
16,766
16,760
17,1326
17,1180
17,1184
17,1147
17,1230
17,1187
17,1178
17,1156
17,1180
17,1187
18,1296
18,1270
18,1345
18,1296
18,1282
18,1319
18,1533
18,1588
18,1624
18,1397
19,1070
19,1163
19,1064
19,909
19,921
19,957
19,912
19,922
19,933
19,925
20,1558
20,1535
20,1488
20,1547
20,1563
20,1495
20,1493
20,1512
20,1632
20,1530
21,1970
21,2126
21,2179
21,1975
21,1693
21,1731
21,1634
21,1956
21,1738
21,1923
22,982
22,1065
22,1019
22,1046
22,1108
22,1067
22,1039
22,1173
22,1117
22,1045
23,1709
23,1791
23,1990
23,1974
23,1880
23,1705
23,1756
23,1718
23,1792
23,1668
24,1952
24,1928
24,1919
24,1892
24,1970
24,2224
24,2078
24,1855
24,1822
24,1897
25,1610
25,1620
25,1630
25,1697
25,1613
25,1619
25,1669
25,1538
25,1630
25,1629
