"[7, 78], [6, 78], [6, 78], [5, 78], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [5, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79], [4, 79]"
"[92, 25], [87, 25], [87, 25], [87, 25], [86, 25], [85, 26], [85, 26], [85, 26], [85, 26], [85, 26], [85, 26], [83, 26], [83, 26], [83, 26], [83, 26], [81, 26], [81, 26], [81, 26], [81, 26], [81, 26], [81, 26], [81, 26], [81, 26], [81, 26], [80, 28], [80, 28], [80, 28], [80, 28], [80, 28], [80, 28], [80, 28], [80, 28], [79, 28], [79, 28], [79, 28], [79, 28], [78, 28], [78, 28], [78, 28], [77, 28], [77, 28], [77, 28], [77, 28], [76, 31], [76, 32], [76, 32], [76, 32], [76, 32], [76, 32], [76, 32], [75, 32], [75, 32], [75, 32], [75, 32], [75, 32], [75, 32], [74, 33], [74, 33], [73, 33], [73, 33], [73, 33], [72, 33], [72, 33], [72, 33], [72, 33], [72, 33], [72, 33], [72, 33], [72, 33], [72, 33], [72, 33], [72, 33], [72, 33], [72, 33], [71, 34], [71, 34], [71, 34], [71, 34], [70, 34], [70, 34], [70, 34], [70, 34], [70, 34], [70, 34], [68, 34], [68, 34], [68, 34], [68, 34], [68, 34], [68, 34], [68, 34], [68, 34], [68, 34], [68, 34], [68, 34], [68, 34], [68, 34], [68, 34], [67, 34], [73, 34], [73, 34]"
"[96, 42], [87, 44], [86, 45], [86, 45], [85, 45], [83, 46], [83, 46], [83, 46], [83, 46], [83, 46], [83, 46], [82, 47], [82, 48], [82, 48], [82, 48], [82, 48], [82, 48], [82, 48], [82, 48], [82, 48], [81, 48], [80, 48], [80, 48], [80, 48], [80, 48], [80, 48], [80, 48], [80, 48], [80, 48], [80, 48], [79, 48], [79, 48], [79, 48], [79, 48], [79, 48], [79, 48], [79, 48], [79, 48], [79, 48], [78, 48], [78, 48], [78, 48], [78, 49], [78, 50], [77, 52], [76, 52], [76, 52], [76, 52], [76, 52], [75, 52], [75, 52], [75, 52], [75, 52], [75, 52], [75, 52], [75, 52], [75, 52], [74, 52], [74, 52], [74, 52], [74, 53], [73, 53], [73, 53], [72, 53], [72, 53], [71, 55], [71, 55], [70, 55], [70, 55], [70, 55], [70, 55], [69, 55], [69, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [68, 55], [67, 55], [66, 55], [66, 55], [65, 55], [70, 55], [70, 55], [70, 55]"
"[77, 28], [71, 28], [71, 28], [71, 28], [71, 28], [70, 28], [70, 28], [70, 28], [70, 28], [70, 28], [70, 28], [70, 28], [70, 28], [69, 28], [68, 29], [68, 29], [68, 29], [68, 29], [68, 29], [68, 29], [68, 29], [67, 31], [67, 31], [67, 31], [66, 31], [65, 32], [65, 32], [64, 32], [64, 32], [63, 32], [63, 32], [63, 32], [63, 32], [63, 32], [63, 32], [63, 32], [63, 32], [63, 32], [63, 32], [63, 32], [63, 32], [63, 32], [63, 32], [63, 32], [62, 32], [62, 32], [62, 32], [62, 32], [62, 32], [62, 32], [62, 32], [62, 32], [62, 32], [62, 32], [62, 32], [62, 32], [61, 32], [60, 32], [60, 32], [60, 32], [60, 32], [59, 32], [59, 33], [59, 34], [59, 34], [58, 34], [56, 36], [56, 36], [56, 36], [55, 36], [55, 36], [55, 36], [55, 36], [55, 36], [55, 36], [55, 36], [55, 36], [55, 36], [55, 36], [55, 36], [54, 36], [54, 36], [54, 36], [54, 36], [54, 36], [54, 36], [54, 36], [54, 36], [54, 36], [53, 36], [53, 36], [53, 36], [52, 36], [52, 36], [52, 36], [52, 36], [52, 36], [56, 36], [56, 36], [55, 40], [55, 40]"
"[20, 51], [17, 51], [17, 51], [17, 51], [17, 51], [16, 51], [16, 51], [16, 51], [16, 51], [16, 51], [16, 51], [16, 51], [16, 51], [16, 51], [16, 51], [16, 51], [16, 51], [16, 51], [16, 51], [16, 51], [16, 52], [16, 52], [16, 52], [16, 52], [16, 52], [16, 52], [16, 52], [16, 52], [16, 52], [16, 52], [16, 52], [15, 52], [15, 52], [15, 52], [15, 52], [15, 52], [15, 52], [15, 52], [15, 52], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [14, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [13, 53], [12, 53], [12, 53], [12, 53], [12, 53], [12, 53], [12, 53], [12, 53], [12, 53], [12, 53], [12, 53], [12, 53]"
"[83, 52], [68, 55], [67, 57], [67, 57], [65, 57], [64, 57], [64, 57], [64, 57], [63, 57], [62, 57], [61, 58], [61, 58], [61, 58], [61, 58], [61, 58], [61, 58], [61, 58], [61, 58], [61, 58], [60, 58], [60, 58], [60, 58], [60, 58], [59, 58], [59, 58], [59, 58], [59, 58], [59, 58], [59, 58], [59, 58], [58, 58], [58, 58], [58, 58], [58, 58], [58, 58], [58, 58], [58, 58], [58, 58], [58, 58], [58, 58], [57, 58], [57, 58], [57, 58], [57, 58], [57, 58], [57, 58], [56, 59], [56, 59], [56, 59], [56, 59], [55, 59], [55, 59], [55, 59], [55, 59], [55, 59], [55, 59], [55, 59], [55, 59], [54, 59], [54, 59], [54, 59], [54, 60], [54, 61], [54, 61], [54, 61], [54, 61], [54, 61], [54, 61], [54, 61], [53, 63], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 64], [53, 65], [53, 66], [53, 66], [53, 66], [54, 66], [54, 66], [54, 66], [54, 66], [54, 66], [54, 66]"
"[57, 30], [54, 30], [54, 30], [54, 30], [54, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [53, 30], [52, 30], [52, 30], [52, 30], [52, 30], [52, 30], [52, 30], [51, 30], [51, 30], [51, 30], [51, 30], [51, 30], [51, 30], [51, 30], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [50, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 31], [48, 32], [48, 33], [48, 33], [48, 33], [48, 33], [48, 33], [51, 33], [51, 33], [51, 33], [51, 33], [51, 33], [51, 33], [51, 33]"
"[75, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [73, 11], [72, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [71, 11], [70, 11], [70, 11], [70, 11], [70, 11], [70, 11], [70, 11], [70, 11], [70, 11], [70, 11], [70, 11], [78, 11], [78, 11], [78, 11], [78, 11], [78, 11], [78, 11], [78, 11], [78, 11]"
"[76, 58], [63, 62], [62, 62], [62, 62], [60, 63], [59, 63], [59, 63], [58, 65], [58, 65], [57, 65], [56, 66], [56, 66], [56, 66], [56, 66], [56, 66], [56, 66], [56, 66], [56, 66], [56, 67], [56, 67], [56, 67], [55, 67], [54, 67], [54, 67], [54, 67], [54, 67], [54, 67], [54, 67], [54, 67], [53, 67], [53, 67], [53, 67], [53, 67], [53, 67], [53, 67], [53, 67], [53, 67], [53, 67], [53, 67], [52, 67], [52, 67], [52, 67], [52, 67], [52, 67], [52, 67], [52, 67], [52, 67], [51, 68], [49, 69], [49, 69], [49, 69], [49, 71], [49, 73], [49, 73], [48, 73], [48, 74], [48, 74], [48, 74], [48, 74], [48, 74], [48, 75], [48, 75], [48, 75], [46, 77], [46, 77], [45, 77], [45, 77], [45, 77], [45, 77], [45, 77], [45, 77], [45, 77], [45, 77], [45, 77], [45, 77], [45, 77], [43, 80], [43, 80], [42, 84], [42, 84], [42, 84], [42, 84], [41, 86], [41, 86], [41, 86], [41, 86], [41, 86], [41, 86], [41, 86], [41, 86], [40, 86], [40, 86], [43, 86], [43, 87], [43, 87], [43, 87], [42, 87], [42, 87], [42, 87], [42, 87], [41, 88]"
"[56, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [55, 3], [59, 3], [59, 3], [59, 3], [59, 3], [59, 3], [59, 3], [59, 3], [59, 3], [59, 3], [59, 3]"
